date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:32	488017/488017	---MCZ	200	added ('OK')	text/html	etag:W/%22b94b50b832fa289f8f9ce4d330c76c56%22	https://alactic.wixsite.com/my-site-4-2	E:/avenue%20corporation%20website/Avenue%20Corporation/alactic.wixsite.com/my-site-4-2.html	(from )
15:49:32	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://alactic.wixsite.com/robots.txt		(from )
15:49:33	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	E:/avenue%20corporation%20website/Avenue%20Corporation/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://alactic.wixsite.com/my-site-4-2)
15:49:33	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	E:/avenue%20corporation%20website/Avenue%20Corporation/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://alactic.wixsite.com/my-site-4-2)
15:49:33	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2008%20Oct%202024%2010:19:28%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	E:/avenue%20corporation%20website/Avenue%20Corporation/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://alactic.wixsite.com/my-site-4-2)
15:49:34	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:19:29%20GMT	https://alactic.wixsite.com/c	E:/avenue%20corporation%20website/Avenue%20Corporation/alactic.wixsite.com/c.4.delayed	(from https://alactic.wixsite.com/my-site-4-2)
15:49:34	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:19:29%20GMT	https://alactic.wixsite.com/t	E:/avenue%20corporation%20website/Avenue%20Corporation/alactic.wixsite.com/t.5.delayed	(from https://alactic.wixsite.com/my-site-4-2)
15:49:35	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	E:/avenue%20corporation%20website/Avenue%20Corporation/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	(from https://alactic.wixsite.com/my-site-4-2)
15:49:35	6573/6573	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Oct%202024%2010:19:30%20GMT	https://static.wixstatic.com/media/11062b_4f14b356c1df4854968cf1cc94ca98c5f000.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_4f14b356c1df4854968cf1cc94ca98c5f000.jpg	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/11062b_4f14b356c1df4854968cf1cc94ca98c5f000.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2/11062b_4f14b356c1df4854968cf1cc94ca98c5f000.jpg	(from https://alactic.wixsite.com/my-site-4-2)
15:49:35	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:19:30%20GMT	https://alactic.wixsite.com/	E:/avenue%20corporation%20website/Avenue%20Corporation/alactic.wixsite.com/index.html	(from https://alactic.wixsite.com/my-site-4-2)
15:49:37	355974/355974	---MCZ	200	added ('OK')	text/html	etag:W/%227e6f5d9103b8c075439d6a74805e899e%22	https://alactic.wixsite.com/my-site-4-2/services	E:/avenue%20corporation%20website/Avenue%20Corporation/alactic.wixsite.com/my-site-4-2/services.html	(from https://alactic.wixsite.com/my-site-4-2)
15:49:38	1345/1345	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202024%2012:59:28%20GMT	https://static.wixstatic.com/media/c19c76_376dc1d20bd348b99c4a732a1d6d7c81.png/v1/fill/w_55,h_31,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/c19c76_376dc1d20bd348b99c4a732a1d6d7c81.png	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/c19c76_376dc1d20bd348b99c4a732a1d6d7c81.png/v1/fill/w_55,h_31,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/c19c76_376dc1d20bd348b99c4a732a1d6d7c81.png	(from https://alactic.wixsite.com/my-site-4-2)
15:49:38	347603/347603	---MCZ	200	added ('OK')	text/html	etag:W/%22ea2e66458a29d729b63aaca2ffd37b79%22	https://alactic.wixsite.com/my-site-4-2/about	E:/avenue%20corporation%20website/Avenue%20Corporation/alactic.wixsite.com/my-site-4-2/about.html	(from https://alactic.wixsite.com/my-site-4-2)
15:49:39	14473/14473	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Oct%202024%2010:19:33%20GMT	https://static.wixstatic.com/media/11062b_d1ef99d1e41e40729056ed291c28cf33~mv2.jpg/v1/fill/w_300,h_225,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Movie%20Clapboard.jpg	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/11062b_d1ef99d1e41e40729056ed291c28cf33_mv2.jpg/v1/fill/w_300,h_225,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Movie%20Clapboard.jpg	(from https://alactic.wixsite.com/my-site-4-2)
15:49:39	31174/31174	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Oct%202024%2010:19:34%20GMT	https://static.wixstatic.com/media/11062b_44a45a7a14544a389a653b0755b053d7~mv2.jpg/v1/fill/w_300,h_225,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Shades%20of%20Rose%20Wine.jpg	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/11062b_44a45a7a14544a389a653b0755b053d7_mv2.jpg/v1/fill/w_300,h_225,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Shades%20of%20Rose%20Wine.jpg	(from https://alactic.wixsite.com/my-site-4-2)
15:49:40	24473/24473	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Oct%202024%2010:19:34%20GMT	https://static.wixstatic.com/media/11062b_6aac8fffc6684828be49ebcaa0d20c88~mv2.jpg/v1/fill/w_300,h_225,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/City%20Skyline.jpg	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/11062b_6aac8fffc6684828be49ebcaa0d20c88_mv2.jpg/v1/fill/w_300,h_225,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/City%20Skyline.jpg	(from https://alactic.wixsite.com/my-site-4-2)
15:49:40	3274/3274	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Oct%202024%2010:19:35%20GMT	https://static.wixstatic.com/media/11062b_823da8115fcc44fca20049047695869a~mv2.jpeg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_823da8115fcc44fca20049047695869a~mv2.jpeg	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/11062b_823da8115fcc44fca20049047695869a_mv2.jpe/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/11062b_823da8115fcc44fca20049047695869a_mv2.jpg	(from https://alactic.wixsite.com/my-site-4-2)
15:49:40	1708/1708	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Oct%202024%2010:19:35%20GMT	https://static.wixstatic.com/media/2cab10_a9e9e20b17e74c73ae6e09264d0a1409~mv2.jpeg/v1/fill/w_72,h_72,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/WhatsApp%20Image%202023-12-29%20at%2015_32_51.jpeg	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/2cab10_a9e9e20b17e74c73ae6e09264d0a1409_mv2.jpeg/v1/fill/w_72,h_72,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/WhatsApp%20Image%202023-12-29%20at%2015_32_51.jpg	(from https://alactic.wixsite.com/my-site-4-2)
15:49:41	1612/1612	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Oct%202024%2010:19:36%20GMT	https://static.wixstatic.com/media/2cab10_73e077ae0d554cd496bf0f48c395a85b~mv2.jpeg/v1/fill/w_60,h_81,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/WhatsApp%20Image%202024-03-13%20at%2015_48_04.jpeg	E:/avenue%20corporation%20website/Avenue%20Corporation/static.wixstatic.com/media/2cab10_73e077ae0d554cd496bf0f48c395a85b_mv2.jpeg/v1/fill/w_60,h_81,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/WhatsApp%20Image%202024-03-13%20at%2015_48_04.jpg	(from https://alactic.wixsite.com/my-site-4-2)
